No.,Time,Source,Destination,Protocol,Length,Info
1,0,192.168.0.51,80.239.174.89,TCP,66,47995  >  443 [ACK] Seq=1 Ack=1 Win=5578 Len=0 TSval=1273287 TSecr=3589213310
2,0,80.239.174.89,192.168.0.51,TLSv1.2,1454,Ignored Unknown Record
3,0,80.239.174.89,192.168.0.51,TLSv1.2,1454,Ignored Unknown Record
4,0.000658,192.168.0.51,80.239.174.89,TCP,66,47995  >  443 [ACK] Seq=1 Ack=2777 Win=5578 Len=0 TSval=1273287 TSecr=3589213311
5,0.000662,80.239.174.89,192.168.0.51,TLSv1.2,1454,Ignored Unknown Record
6,0.000665,80.239.174.89,192.168.0.51,TLSv1.2,1454,Ignored Unknown Record
7,0.000741,192.168.0.51,80.239.174.89,TCP,66,47995  >  443 [ACK] Seq=1 Ack=5553 Win=5578 Len=0 TSval=1273287 TSecr=3589213311
8,0.000746,80.239.174.89,192.168.0.51,TLSv1.2,1454,Ignored Unknown Record
9,0.001164,192.168.0.51,80.239.174.89,TCP,66,[TCP ACKed unseen segment] 47995  >  443 [ACK] Seq=1 Ack=8329 Win=5578 Len=0 TSval=1273287 TSecr=3589213314
10,0.001169,80.239.174.89,192.168.0.51,TLSv1.2,1454,Ignored Unknown Record
11,0.001648,80.239.174.89,192.168.0.51,TLSv1.2,1454,Ignored Unknown Record
12,0.002825,80.239.174.89,192.168.0.51,TLSv1.2,1454,Ignored Unknown Record
13,0.00307,192.168.0.51,80.239.174.89,TCP,66,47995  >  443 [ACK] Seq=1 Ack=11105 Win=5578 Len=0 TSval=1273288 TSecr=3589213314
14,0.003078,192.168.0.51,80.239.174.89,TCP,66,[TCP ACKed unseen segment] 47995  >  443 [ACK] Seq=1 Ack=13881 Win=5578 Len=0 TSval=1273288 TSecr=3589213314
15,0.003081,80.239.174.89,192.168.0.51,TLSv1.2,1454,Ignored Unknown Record
16,0.003085,80.239.174.89,192.168.0.51,TLSv1.2,1454,Ignored Unknown Record
17,0.003405,80.239.174.89,192.168.0.51,TLSv1.2,1454,Ignored Unknown Record
18,0.003983,80.239.174.89,192.168.0.51,TLSv1.2,1454,Ignored Unknown Record
19,0.004238,192.168.0.51,80.239.174.89,TCP,66,47995  >  443 [ACK] Seq=1 Ack=16657 Win=5578 Len=0 TSval=1273288 TSecr=3589213314
20,0.004244,192.168.0.51,80.239.174.89,TCP,66,[TCP ACKed unseen segment] 47995  >  443 [ACK] Seq=1 Ack=19433 Win=5578 Len=0 TSval=1273288 TSecr=3589213316